node_id,x,y
29031598,-84.2602848,42.2914117
61662392,-84.1384224,42.4245501
61662393,-84.1361264,42.4245357
61662394,-84.1310947,42.4245405
62475075,-84.1317189,42.144527
62481321,-84.1315459,42.337816
62487482,-84.1215179,42.084591
62518571,-84.1218319,42.382909
62518607,-84.1313829,42.3911388
62518631,-84.1314079,42.397525
62541933,-84.1267819,42.380218
62541961,-84.1069879,42.396166
62541976,-84.0978419,42.405378
62553333,-84.1313893,42.1514695
62556923,-84.1310069,42.270182
62559872,-84.1338989,42.144662
62562689,-84.1314719,42.353728
62562692,-84.1312109,42.353728
62566424,-84.1312049,42.289183
62582226,-84.1315809,42.347715
62595772,-84.1310909,42.242566
62627840,-84.1314529,42.334141
62627843,-84.1314599,42.335659
183789786,-84.7129181,42.1135436
183789793,-84.7129326,42.11405
183803828,-84.7131459,42.162946
183867415,-84.7173449,42.270126
183867427,-84.7176309,42.285814
183867489,-84.7186019,42.334535
183886568,-84.7117149,42.163014
183886602,-84.7160189,42.231889
183886629,-84.7185111,42.4204345
183888644,-84.7185859,42.392899
183946322,-84.7175539,42.270117
183946325,-84.7175639,42.269493
183946439,-84.7205729,42.26947
183946448,-84.7210509,42.270089
183970622,-84.7186299,42.356349
183975135,-84.7185819,42.378358
184195485,-84.6496419,42.434501
184226703,-84.6655389,42.421728
184228213,-84.6496699,42.421789
184228218,-84.649628,42.4239854
184245846,-84.7184929,42.42152
184246602,-84.6924419,42.421617
184248011,-84.6102149,42.421888
184249053,-84.6249719,42.421816
184258050,-84.6486539,42.421797
184269441,-84.6496654,42.4257933
184274626,-84.6359409,42.421822
184417931,-84.6608219,42.070926
184425689,-84.3635498,42.0713874
184431785,-84.5167098,42.0724024
184432897,-84.4190369,42.071193
184433062,-84.4279161,42.0730739
184439387,-84.4408291,42.0696593
184439409,-84.4406189,42.070781
184439412,-84.4406379,42.073022
184442591,-84.6125019,42.071419
184442680,-84.4256309,42.073073
184442832,-84.4225699,42.073086
184443993,-84.4201499,42.072309
184450973,-84.4385689,42.070004
184453357,-84.5507669,42.072062
184454323,-84.7095559,42.070366
184459855,-84.4375459,42.070537
184461082,-84.4019809,42.07322
184461242,-84.4201202,42.0729761
184461276,-84.4357159,42.073028
184464022,-84.4209339,42.068882
184468127,-84.4370129,42.071717
184470304,-84.4375439,42.071076
184507213,-84.1512829,42.426472
184522666,-84.3744819,42.422115
184552294,-84.3512119,42.457739
184554157,-84.2002439,42.424867
184557131,-84.2251706,42.426797
184572688,-84.3843319,42.422126
184590239,-84.4431819,42.422078
184593808,-84.2142019,42.424863
184603250,-84.4136789,42.422047
184606375,-84.5409897,42.4220732
184617558,-84.3990058,42.4220712
184623251,-84.2777859,42.424674
184623268,-84.2862329,42.363545
184623281,-84.2843459,42.36438
184623288,-84.2843189,42.363058
184623302,-84.5467209,42.210665
184623306,-84.5466679,42.211555
184623345,-84.1898839,42.246184
184623359,-84.1912329,42.246305
184623381,-84.1914828,42.2457892
184623407,-84.4718589,42.185915
184623418,-84.4715669,42.184771
184623433,-84.4714379,42.183639
184623439,-84.4709269,42.183144
184623453,-84.4708029,42.181946
184623461,-84.40115,42.1986808
184623464,-84.3973789,42.198708
184623469,-84.3942599,42.198762
184623486,-84.3458159,42.40208
184623527,-84.3441379,42.399652
184623537,-84.3435169,42.397889
184623564,-84.3407579,42.396307
184623571,-84.3407139,42.394898
184623577,-84.3405579,42.394213
184623581,-84.3404759,42.393961
184623583,-84.3403999,42.393717
184623586,-84.3401449,42.392729
184623590,-84.3401409,42.3922
184623594,-84.3402799,42.39133
184623598,-84.3402829,42.390843
184623600,-84.3402099,42.390392
184623603,-84.3401039,42.389928
184623606,-84.3400269,42.389452
184623609,-84.3399239,42.389133
184623615,-84.3398499,42.388903
184623618,-84.3396569,42.388583
184623637,-84.3393309,42.387751
184623666,-84.3332869,42.387412
